date,state,p,confirmed,city_ibge_code,confirmed_per_100k_inhabitants
2020-04-26,BA,c,1,2910701,
2020-04-26,BA,c,16,2910727,
2020-04-26,BA,c,67,2910800,
2020-04-26,BA,c,2,2911006,
2020-04-26,BA,c,2,2911204,
2020-04-26,BA,c,4,2911501,
2020-04-26,BA,c,0,2911709,
2020-04-26,BA,c,2,2912103,
2020-04-26,BA,c,3,2912905,
2020-04-26,BA,c,1,2913200,
2020-04-26,BA,c,167,2913606,
2020-04-26,BA,c,16,,
2020-04-26,BA,c,16,2913903,
2020-04-26,BA,c,4,2914000,
2020-04-26,BA,c,1,2914604,
2020-04-26,BA,c,1,2914653,
2020-04-26,BA,c,1,2914703,
2020-04-26,BA,c,144,2914802,
2020-04-26,BA,c,1,2914901,
2020-04-26,BA,c,1,2915106,
2020-04-26,BA,c,6,2915205,
2020-04-26,BA,c,8,2915502,
2020-04-26,BA,c,1,2915601,
2020-04-26,BA,c,0,2915700,
2020-04-26,BA,c,1,2916104,
2020-04-26,BA,c,1,2916203,
2020-04-26,BA,c,5,2916302,
2020-04-26,BA,c,7,2916401,
2020-04-26,BA,c,1,2916807,
2020-04-26,BA,c,1,2916856,
2020-04-26,BA,c,4,2917102,
2020-04-26,BA,c,1,2917300,
2020-04-26,BA,c,5,2917607,
2020-04-26,BA,c,26,2918001,
2020-04-26,BA,c,9,2918407,
2020-04-26,BA,c,1,2918803,
2020-04-26,BA,c,1,2919058,
2020-04-26,BA,c,42,2919207,
2020-04-26,BA,c,1,2919405,
2020-04-26,BA,c,1,2919504,
2020-04-26,BA,c,2,2919553,
2020-04-26,BA,c,5,2920601,
2020-04-26,BA,c,1,2921104,
2020-04-26,BA,c,1,2921450,
2020-04-26,BA,c,4,2921609,
2020-04-26,BA,c,1,2921906,
2020-04-26,BA,c,1,2922607,
2020-04-26,BA,c,1,2922904,
2020-04-26,BA,c,1,2923209,
2020-04-26,BA,c,0,2923308,
2020-04-26,BA,c,1,2923506,
2020-04-26,BA,c,1,2923605,
2020-04-26,BA,c,3,2924009,
2020-04-26,BA,c,1,2924702,
2020-04-26,BA,c,1,2925204,
2020-04-26,BA,c,18,2925303,
2020-04-26,BA,c,4,2925501,
2020-04-26,BA,c,1,2926608,
2020-04-26,BA,c,2,2926905,
2020-04-26,BA,c,1,2927002,
2020-04-26,BA,c,1362,2927408,
2020-04-26,BA,c,7,2927705,
2020-04-26,BA,c,2,2928059,
2020-04-26,BA,c,1,2928109,
2020-04-26,BA,c,2,2928505,
2020-04-26,BA,c,1,2928950,
2020-04-26,BA,c,3,2929206,
2020-04-26,BA,c,2,2929354,
2020-04-26,BA,c,1,2929701,
2020-04-26,BA,c,1,2930154,
2020-04-26,BA,c,1,2930402,
2020-04-26,BA,c,4,2930501,
2020-04-26,BA,c,9,2930709,
2020-04-26,BA,c,7,2931202,
2020-04-26,BA,c,9,2931350,
2020-04-26,BA,c,1,2932200,
2020-04-26,BA,c,5,2932309,
2020-04-26,BA,c,3,2932507,
2020-04-26,BA,c,20,2932705,
2020-04-26,BA,c,1,2932804,
2020-04-26,BA,c,4,2932903,
2020-04-26,BA,c,1,2933000,
2020-04-26,BA,c,1,2933208,
2020-04-26,BA,c,25,2933307,
2020-04-26,BA,s,2248,29,15.11457
2020-04-26,CE,c,4,2300150,
2020-04-26,CE,c,3,2300200,
2020-04-26,CE,c,3,2300309,
2020-04-26,CE,c,2,2300507,
2020-04-26,CE,c,4,2300705,
2020-04-26,CE,c,3,2300754,
2020-04-26,CE,c,2,2300903,
2020-04-26,CE,c,58,2301000,
2020-04-26,CE,c,14,2301109,
2020-04-26,CE,c,5,2301208,
2020-04-26,CE,c,1,2301257,
2020-04-26,CE,c,1,2301307,
2020-04-26,CE,c,3,2301505,
2020-04-26,CE,c,2,2301851,
2020-04-26,CE,c,4,2301901,
2020-04-26,CE,c,1,2301950,
2020-04-26,CE,c,1,2302057,
2020-04-26,CE,c,4,2302107,
2020-04-26,CE,c,11,2302206,
2020-04-26,CE,c,8,2302305,
2020-04-26,CE,c,3,2302503,
2020-04-26,CE,c,1,2302602,
2020-04-26,CE,c,2,2302701,
