Country,CountryCode,Slug,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered,Date
Brazil,BR,brazil,0,108620,0,7367,0,45815,2020-05-05T18:55:19Z
Brazil,BR,brazil,6835,115455,571,7938,2406,48221,2020-05-06T01:44:19Z
